"","Year","Month","Fleet","Obs","SE"
"1",2007,6,3,1.82857142857143,0.776909105511008
"2",2008,6,3,1.35294117647059,0.691898053861261
"3",2009,6,3,2.91111111111111,0.767699668638661
"4",2010,6,3,1.72839506172839,0.796146268938999
"5",2011,6,3,0.987766830870279,0.489257902098578
"6",2012,6,3,0.847149122807018,0.699084475484169
"7",2013,6,3,1.30190058479532,0.651197523631376
"8",2014,6,3,1.07247474747475,0.61157860011676
"9",2015,6,3,1.22777777777778,0.501969896805733
"10",2016,6,3,0.752873563218391,0.861185197729858
"11",2017,6,3,1.18407329105004,0.676680181206465
"12",2018,6,3,0.823700642791552,0.567208103923916
"13",2019,6,3,0.725073313782991,0.579541639495001
"14",2020,6,3,0.60376492194674,0.60343494487331
