"","yy","val","se","Type"
"1",2009,2.09806297610402,0.164835308713978,"Standardized"
"2",2010,1.58535177952784,0.111655750147101,"Standardized"
"3",2011,0.625492254589562,0.186333151699717,"Standardized"
"4",2012,0.748743924490193,0.126780077368021,"Standardized"
"5",2013,1.11258459021405,0.136942374828849,"Standardized"
"6",2014,0.6580027139065,0.175319381448936,"Standardized"
"7",2015,0.881917941822747,0.161022246158511,"Standardized"
"8",2016,0.820548286815354,0.12324481519359,"Standardized"
"9",2017,1.30348422832965,0.188708112022581,"Standardized"
"10",2018,0.876035905005952,0.137772012721946,"Standardized"
"11",2019,0.675687091099084,0.131438716644386,"Standardized"
"12",2020,0.614088308095049,0.13933535939332,"Standardized"
"13",2009,2.8093838751553,0.767645710270281,"Observed"
"14",2010,1.5446905247933,0.796069825936287,"Observed"
"15",2011,0.71595583798038,2.09674000626313,"Observed"
"16",2012,0.45023634334577,2.50924489438679,"Observed"
"17",2013,0.988802950504178,1.84393105497895,"Observed"
"18",2014,0.515327388291147,2.7244284524831,"Observed"
"19",2015,1.09707626833711,1.37926618679431,"Observed"
"20",2016,0.771437357870184,0.810463778135885,"Observed"
"21",2017,1.2017127831468,0.67657030127574,"Observed"
"22",2018,0.75342572140064,1.32262095192679,"Observed"
"23",2019,0.690562245996851,0.582763756175942,"Observed"
"24",2020,0.461388703178343,1.43184921406691,"Observed"
