"","yy","type","value","sd"
"1","2007","obs",1.13960258045751,1.79666090217142
"2","2008","obs",0.938806025845822,1.47523098485555
"3","2009","obs",2.27615938209481,0.767645710270281
"4","2010","obs",1.25150637530689,0.796069825936287
"5","2011","obs",0.580066544909072,2.09674000626313
"6","2012","obs",0.364780935111577,2.50924489438679
"7","2013","obs",0.801126942009199,1.84393105497895
"8","2014","obs",0.417517620173737,2.7244284524831
"9","2015","obs",0.8888498517886,1.37926618679431
"10","2016","obs",0.625017604515719,0.810463778135885
"11","2017","obs",0.973626228203385,0.67657030127574
"12","2018","obs",0.610424598661448,1.32262095192679
"13","2019","obs",0.559492687719406,0.582763756175942
"14","2020","obs",0.373816563417803,1.43184921406691
"15","2007","m3",2.42348398094748,1.03178711102994
"16","2008","m3",1.59886190076673,0.642187663640091
"17","2009","m3",2.27615938209483,0
"18","2010","m3",0.909403607681216,0.622166142136011
"19","2011","m3",1.18179910292205,1.29234783687104
"20","2012","m3",0.993699032621561,0.964950160683364
"21","2013","m3",1.14058648039433,0.418099625642198
"22","2014","m3",1.26930646880946,2.01781588763203
"23","2015","m3",1.34604154239276,0.677192183113107
"24","2016","m3",0.688142388930077,0.451574723044135
"25","2017","m3",0.957283412119302,0.036548336314986
"26","2018","m3",0.812156694954612,0.458034002129727
"27","2019","m3",0.86789101681744,0.334910011218159
"28","2020","m3",0.523343201543251,0.380281930157993
"29","2007","m4",1.77906375767722,0.56536648971433
"30","2008","m4",1.14237491539041,0.307802747255045
"31","2009","m4",2.15316692973687,0.041741463219239
"32","2010","m4",2.21331751172794,0.546430453746947
"33","2011","m4",0.801986041950749,0.451276933602292
"34","2012","m4",0.680618740786456,0.535020165133765
"35","2013","m4",1.27480432620354,0.568469043240069
"36","2014","m4",0.596321983300065,0.471419012285679
"37","2015","m4",1.22920625135975,0.427314303200099
"38","2016","m4",0.997100072606175,0.468826209213732
"39","2017","m4",1.37571684913287,0.49561270860762
"40","2018","m4",0.965302028958636,0.438299208484631
"41","2019","m4",0.943715086251994,0.383960562471404
"42","2020","m4",0.684301183193519,0.40338502662439
"43","2007","m5",2.19043181145412,1.03307048280304
"44","2008","m5",1.48088105775518,0.64589440584258
"45","2009","m5",2.10823164818076,0.0575888988255972
"46","2010","m5",0.900916897027104,0.625131617713526
"47","2011","m5",1.11946552652903,1.29354462092632
"48","2012","m5",1.01581469047945,0.9691023156141
"49","2013","m5",1.08924114894111,0.426343320953512
"50","2014","m5",1.23933977164625,2.01978379912874
"51","2015","m5",1.35411160408283,0.67987566626487
"52","2016","m5",0.6776595913854,0.456493574253583
"53","2017","m5",1.02834156640257,0.0875149041249968
"54","2018","m5",0.938785365789288,0.464602665043967
"55","2019","m5",0.927818876163881,0.342862046023339
"56","2020","m5",0.604079062641475,0.38270311519012
