"","yy","type","value","sd"
"1","2007","obs",1.50028045518235,0.776820193826578
"2","2008","obs",0.938806025845822,1.47523098485555
"3","2009","obs",2.27615938209481,0.767645710270281
"4","2010","obs",1.25150637530689,0.796069825936287
"5","2011","obs",0.931281964606186,0.489197055662121
"6","2012","obs",0.737992472028119,0.698953583368568
"7","2013","obs",1.11128371888958,0.651096915068405
"8","2014","obs",0.962574108401963,0.611515377113364
"9","2015","obs",1.06254119252013,0.50409187586534
"10","2016","obs",0.625017604515719,0.810463778135885
"11","2017","obs",0.973626228203385,0.67657030127574
"12","2018","obs",0.610424598661448,1.32262095192679
"13","2019","obs",0.559492687719406,0.582763756175942
"14","2020","obs",0.458262740827425,0.605579452276442
"15","2007","m3",2.42348398094727,0.603947395289835
"16","2008","m3",1.5988619007667,0.642187663640106
"17","2009","m3",2.27615938209477,0
"18","2010","m3",0.909403607681354,0.622166142136022
"19","2011","m3",1.18179910292203,0.29059060979511
"20","2012","m3",0.993699032621564,0.312506377825448
"21","2013","m3",1.14058648039433,0.105509915512691
"22","2014","m3",1.26930646880949,0.356596936767205
"23","2015","m3",1.34604154239275,0.287476228960257
"24","2016","m3",0.688142388930105,0.451574723044139
"25","2017","m3",0.957283412119305,0.0365483363149781
"26","2018","m3",0.812156694954589,0.458034002129733
"27","2019","m3",0.867891016817435,0.334910011218172
"28","2020","m3",0.523343201543245,0.176611655590768
"29","2007","m4",1.71679393236077,0.247878531743666
"30","2008","m4",1.13220092944329,0.298674811795279
"31","2009","m4",2.15007389181935,0.0407480853668205
"32","2010","m4",1.5801536495009,0.29717590963445
"33","2011","m4",1.07043148381647,0.254295937357198
"34","2012","m4",0.881664111200309,0.28629804805327
"35","2013","m4",1.16288902791115,0.189982407861112
"36","2014","m4",1.14201495326106,0.291154671443875
"37","2015","m4",1.27531189295671,0.259582752085908
"38","2016","m4",0.787476611207589,0.295822707912222
"39","2017","m4",1.06919622488842,0.175015932862304
"40","2018","m4",0.787893846249372,0.259680946919577
"41","2019","m4",0.821199851248604,0.327162193621939
"42","2020","m4",0.684637192656578,0.328947525666991
"43","2007","m5",2.17220545092565,0.606317573361387
"44","2008","m5",1.47008200413472,0.646214640699265
"45","2009","m5",2.09286084257698,0.0600324599558706
"46","2010","m5",0.896902374782526,0.625387951500342
"47","2011","m5",1.11236104337481,0.296512568696449
"48","2012","m5",1.01263644555553,0.327010466594349
"49","2013","m5",1.08270159855006,0.136097754667943
"50","2014","m5",1.23305902870249,0.369430559973807
"51","2015","m5",1.34895818646449,0.294350622069566
"52","2016","m5",0.674467894768179,0.456917361462479
"53","2017","m5",1.02728343403641,0.0905915722257193
"54","2018","m5",0.940739626115691,0.465167555068582
"55","2019","m5",0.926673742162428,0.343542523285566
"56","2020","m5",0.605298333759067,0.181977402221772
