"","Age","Mat_F","Mat_M"
"1",0,2.08951e-14,5.21391e-10
"2",1,3.69951e-14,9.53772e-10
"3",2,2.72527e-13,6.33481e-09
"4",3,1.94462e-12,3.90857e-08
"5",4,1.3268e-11,2.22852e-07
"6",5,8.64706e-11,1.17598e-06
"7",6,5.38053e-10,5.75366e-06
"8",7,3.19561e-09,2.61505e-05
"9",8,1.81137e-08,0.000110598
"10",9,9.79965e-08,0.000435236
"11",10,5.06098e-07,0.00158258
"12",11,2.49556e-06,0.0051998
"13",12,1.17454e-05,0.0149163
"14",13,5.25679e-05,0.0364062
"15",14,0.000220477,0.0753477
"16",15,0.000840008,0.134245
"17",16,0.00280232,0.21077
"18",17,0.00799451,0.29878
"19",18,0.0194296,0.390804
"20",19,0.0406668,0.48026
"21",20,0.0746246,0.562568
"22",21,0.122437,0.635272
"23",22,0.182986,0.697609
"24",23,0.253264,0.749935
"25",24,0.329228,0.793221
"26",25,0.406733,0.828688
"27",26,0.482211,0.857585
"28",27,0.553019,0.881066
"29",28,0.617491,0.900138
"30",29,0.674823,0.915649
"31",30,0.72487,0.928295
"32",31,0.767933,0.938641
"33",32,0.804583,0.947141
"34",33,0.835521,0.954157
"35",34,0.861486,0.959976
"36",35,0.88319,0.964826
"37",36,0.901288,0.968891
"38",37,0.916362,0.972315
"39",38,0.928916,0.975213
"40",39,0.939377,0.97768
"41",40,0.948106,0.97979
"42",41,0.955405,0.981603
"43",42,0.961521,0.983168
"44",43,0.96666,0.984525
"45",44,0.97099,0.985707
"46",45,0.974651,0.986741
"47",46,0.977756,0.987648
"48",47,0.980398,0.988448
"49",48,0.982654,0.989156
"50",49,0.984587,0.989784
"51",50,0.98625,0.990343
"52",51,0.987684,0.990843
"53",52,0.988926,0.99129
"54",53,0.990005,0.991692
"55",54,0.990945,0.992054
"56",55,0.991768,0.992381
"57",56,0.99249,0.992677
"58",57,0.993125,0.992946
"59",58,0.993686,0.99319
"60",59,0.994183,0.993412
"61",60,0.995353,0.993854
