"","rel","recap","Days_at_liberty","Yrel","Yrecap","rel_status","recap_status","rel_Series","rel_Number","recap_Series","recap_Number","rel_PIT","recap_PIT","rel_sex","recap_sex","rel_TL","recap_TL","ID","tag_type"
"186319.3",2016-06-19,2016-08-30,72,2016,2016,"RRPY","RM","LT","983",NA,"983","186319","186319","M","M",186.69,182.88,"186319","PIT"
"186378.3",2016-05-19,2016-07-10,52,2016,2016,"RRPY","RR","LT","129",NA,"129","186378","186378","F","F",208.28,NA,"186378","PIT"
"186378.5",2016-07-11,2016-07-14,3,2016,2016,"RR","RR",NA,"129",NA,"129","186378","186378","F","F",208.28,208.28,"186378","PIT"
"186454",2016-05-24,2020-07-08,1506,2016,2020,"TR","RRPY",NA,"175","LT","175","186454","186454","M","M",154.94,185.42,"186454","PIT"
"186456",2016-05-25,2018-07-08,774,2016,2018,"TR","RM",NA,"902",NA,"902","186456","186456","M","M",172.72,170.18,"186456","PIT"
"186457",2016-05-26,2016-08-24,90,2016,2016,"TR","RM",NA,"903","LT","903","186457","186457","F","SF",190.5,180.34,"186457","PIT"
"186458.1",2016-05-26,2016-06-08,13,2016,2016,"TR","RR",NA,"904",NA,"904","186458","186458","F","F",198.12,198.12,"186458","PIT"
"186458.2",2016-06-08,2016-06-19,11,2016,2016,"RR","RR",NA,"904",NA,"904","186458","186458","F","F",198.12,198.12,"186458","PIT"
"186458.3",2016-06-19,2016-06-21,2,2016,2016,"RR","RR",NA,"904",NA,"904","186458","186458","F","F",198.12,198.12,"186458","PIT"
"186458.4",2016-06-21,2016-08-31,71,2016,2016,"RR","RM",NA,"904",NA,"904","186458","186458","F","F",198.12,193.04,"186458","PIT"
"186460",2016-05-27,2016-08-17,82,2016,2016,"TR","RM",NA,"906",NA,"906","186460","186460","F","F",180.34,180.34,"186460","PIT"
"186461",2016-05-27,2016-06-07,11,2016,2016,"TR","RR",NA,"907",NA,"907","186461","186461","M","M",167.64,167.64,"186461","PIT"
"186462",2016-05-29,2016-06-22,24,2016,2016,"TR","RR",NA,"908",NA,"908","186462","186462","F","F",177.8,177.8,"186462","PIT"
"186463",2016-05-29,2016-07-13,45,2016,2016,"TR","RM",NA,"909","LT","909","186463","186463","M","M",177.8,200.66,"186463","PIT"
"186464",2016-05-29,2016-07-10,42,2016,2016,"TR","RR",NA,"910",NA,"910","186464","186464","F","F",203.2,203.2,"186464","PIT"
"186465.1",2016-05-29,2016-05-31,2,2016,2016,"TR","RR",NA,"911",NA,"911","186465","186465","F","F",203.2,203.2,"186465","PIT"
"186465.2",2016-05-31,2016-07-06,36,2016,2016,"RR","RM",NA,"911",NA,"911","186465","186465","F","F",203.2,200.66,"186465","PIT"
"186467.1",2016-05-29,2016-06-07,9,2016,2016,"TR","RR",NA,"914",NA,"914","186467","186467","M","M",187.96,187.96,"186467","PIT"
"186467.2",2016-06-07,2016-06-08,1,2016,2016,"RR","RR",NA,"914",NA,"914","186467","186467","M","M",187.96,187.96,"186467","PIT"
"186467.3",2016-06-08,2019-08-07,1155,2016,2019,"RR","RMPY",NA,"914",NA,"914","186467","186467","M","M",187.96,188,"186467","PIT"
"186468",2016-05-30,2016-07-11,42,2016,2016,"TR","RM",NA,"915",NA,"915","186468","186468","F","SF",190.5,193.04,"186468","PIT"
"186469",2016-05-30,2016-06-09,10,2016,2016,"TR","RR",NA,"916",NA,"916","186469","186469","M","M",177.8,177.8,"186469","PIT"
"186470.1",2016-05-31,2016-06-20,20,2016,2016,"RRPY","RR","B","485","B","485","186470","186470","F","F",213.36,213.36,"186470","PIT"
"186470.2",2016-06-20,2019-07-29,1134,2016,2019,"RR","RMPY","B","485","B","485","186470","186470","F","F",213.36,185.42,"186470","PIT"
"186471",2016-05-31,2018-07-13,773,2016,2018,"TR","RMPY",NA,"917",NA,"917","186471","186471","M","M",157.48,165.1,"186471","PIT"
"186473.1",2016-05-31,2016-06-07,7,2016,2016,"TR","RR",NA,"919",NA,"919","186473","186473","F","F",198.12,198.12,"186473","PIT"
"186473.2",2016-06-07,2016-06-08,1,2016,2016,"RR","RM",NA,"919",NA,"919","186473","186473","F","F",198.12,198.12,"186473","PIT"
"186475.1",2016-06-01,2016-06-05,4,2016,2016,"TR","RR",NA,"921",NA,"921","186475","186475","M","M",175.26,175.26,"186475","PIT"
"186475.2",2016-06-05,2016-07-09,34,2016,2016,"RR","RM",NA,"921",NA,"921","186475","186475","M","M",175.26,228.6,"186475","PIT"
"186477.1",2016-06-01,2016-06-06,5,2016,2016,"TR","RR",NA,"922",NA,"922","186477","186477","M","M",187.96,187.96,"186477","PIT"
"186477.2",2016-06-06,2016-07-16,40,2016,2016,"RR","RM",NA,"922","LT","922","186477","186477","M","M",187.96,187.96,"186477","PIT"
"186478",2016-06-01,2016-08-24,84,2016,2016,"TR","RR",NA,"923","LT","923","186478","186478","F","F",210.82,205.74,"186478","PIT"
"186480.1",2016-06-01,2016-08-08,68,2016,2016,"TR","RR",NA,"726",NA,"726","186480","186480","M","M",177.8,180.34,"186480","PIT"
"186480.2",2016-08-08,2019-07-14,1070,2016,2019,"RR","RMPY",NA,"726",NA,"726","186480","186480","M","M",180.34,175.26,"186480","PIT"
"186481",2016-06-01,2016-08-29,89,2016,2016,"TR","RM",NA,"727",NA,"727","186481","186481","F","F",203.2,198.12,"186481","PIT"
"186484",2016-06-02,2016-06-05,3,2016,2016,"TR","RR",NA,"328",NA,"328","186484","186484","F","F",198.12,198.12,"186484","PIT"
"186485",2016-06-02,2016-07-03,31,2016,2016,"TR","RM",NA,"329",NA,"329","186485","186485","F","F",218.44,220.98,"186485","PIT"
"186489",2016-06-03,2016-07-12,39,2016,2016,"TR","RM",NA,"334",NA,"334","186489","186489","F","SF",205.74,208.28,"186489","PIT"
"186490",2016-06-03,2016-06-17,14,2016,2016,"TR","RR",NA,"335",NA,"335","186490","186490","F","F",198.12,198.12,"186490","PIT"
"186492",2016-06-03,2016-07-09,36,2016,2016,"TR","RM",NA,"338",NA,"338","186492","186492","M","M",182.88,182.88,"186492","PIT"
"186493.1",2016-06-03,2016-08-21,79,2016,2016,"TR","RM",NA,"344",NA,"344","186493","186493","F","SF",218.44,208.28,"186493","PIT"
"186494",2016-06-03,2016-06-13,10,2016,2016,"TR","RR",NA,"301",NA,"301","186494","186494","M","M",177.8,177.8,"186494","PIT"
"186496",2016-06-05,2016-08-25,81,2016,2016,"TR","RM",NA,"305","LT","305","186496","186496","F","F",180.34,177.8,"186496","PIT"
"186498",2016-06-06,2019-07-09,1128,2016,2019,"TR","RMPY",NA,"311","LT","311","186498","186498","F","F",220.98,220.98,"186498","PIT"
"186499.1",2016-06-06,2016-06-12,6,2016,2016,"TR","RR",NA,"312",NA,"312","186499","186499","F","F",199.39,199.39,"186499","PIT"
"186499.2",2016-06-12,2016-07-10,28,2016,2016,"RR","RM",NA,"312",NA,"312","186499","186499","F","F",199.39,193.04,"186499","PIT"
"186500.1",2016-06-06,2016-06-08,2,2016,2016,"TR","RR",NA,"314",NA,"314","186500","186500","M","M",233.68,233.68,"186500","PIT"
"186500.2",2016-06-08,2019-07-26,1143,2016,2019,"RR","RMPY",NA,"314",NA,"314","186500","186500","M","M",233.68,231.14,"186500","PIT"
"186528",2016-05-19,2016-07-06,48,2016,2016,"TR","RM",NA,"153",NA,"153","186528","186528","F","F",203.2,200.66,"186528","PIT"
"186547",2016-05-23,2016-07-13,51,2016,2016,"TR","RR",NA,"173",NA,"173","186547","186547","F","F",182.88,182.88,"186547","PIT"
"186579.1",2016-05-18,2016-06-05,18,2016,2016,"TR","RR",NA,"152",NA,"152","186579","186579","F","F",190.5,190.5,"186579","PIT"
"186579.2",2016-06-05,2018-07-07,762,2016,2018,"RR","RMPY",NA,"152",NA,"LT","186579","186579","F","F",190.5,187.96,"186579","PIT"
"186586",2016-05-23,2016-09-05,105,2016,2016,"TR","RM",NA,"172",NA,"172","186586","186586","F","SF",190.5,195.58,"186586","PIT"
"186587.1",2016-05-23,2016-07-01,39,2016,2016,"TR","RR",NA,"170",NA,"170","186587","186587","F","F",198.12,198.12,"186587","PIT"
"186587.2",2016-07-01,2016-08-19,49,2016,2016,"RR","RM",NA,"170",NA,"170","186587","186587","F","F",198.12,190.5,"186587","PIT"
"186591",2016-05-21,2018-05-31,740,2016,2018,"RRPY","RMPY","B","1517","B","1517","186591","186591","M","M",177.8,175.26,"186591","PIT"
"186594",2016-05-19,2016-06-25,37,2016,2016,"TR","RR",NA,"160",NA,"160","186594","186594","F","F",200.66,200.66,"186594","PIT"
"186598.1",2016-05-22,2016-06-01,10,2016,2016,"TR","RR",NA,"165",NA,"165","186598","186598","F","F",187.96,187.96,"186598","PIT"
"186598.2",2016-06-01,2019-07-07,1131,2016,2019,"RR","RMPY",NA,"165",NA,"165","186598","186598","F","F",187.96,190.5,"186598","PIT"
"186601",2016-06-06,2016-06-14,8,2016,2016,"TR","RR",NA,"317",NA,"317","186601","186601","SF","F",191.77,191.77,"186601","PIT"
"186603",2016-06-07,2020-08-15,1530,2016,2020,"TR","RMPY","ACADIA","2172","ACADIA","2172","186603","186603","M","M",172.72,172.72,"186603","PIT"
"186604",2016-06-07,2016-08-13,67,2016,2016,"TR","RM",NA,"322","LT","322","186604","186604","F","F",210.82,203.2,"186604","PIT"
"186605",2016-06-07,2016-08-31,85,2016,2016,"TR","RM",NA,"324",NA,"324","186605","186605","F","F",195.58,195.58,"186605","PIT"
"186607",2016-06-07,2016-07-15,38,2016,2016,"TR","RR",NA,"358",NA,"358","186607","186607","F","F",177.8,177.8,"186607","PIT"
"186608.1",2016-06-07,2016-06-23,16,2016,2016,"TR","RR",NA,"362",NA,"362","186608","186608","F","F",198.12,198.12,"186608","PIT"
"186608.2",2016-06-23,2016-06-30,7,2016,2016,"RR","RR",NA,"362",NA,"362","186608","186608","F","F",198.12,198.12,"186608","PIT"
"186608.3",2016-06-30,2019-07-23,1118,2016,2019,"RR","RMPY",NA,"362",NA,"362","186608","186608","F","F",198.12,193.04,"186608","PIT"
"186609",2016-06-07,2016-07-08,31,2016,2016,"TR","RM",NA,"361",NA,"361","186609","186609","F","F",200.66,203.2,"186609","PIT"
"186610.1",2016-06-08,2016-06-11,3,2016,2016,"TR","RR",NA,"363",NA,"363","186610","186610","F","F",203.2,203.2,"186610","PIT"
"186610.2",2016-06-11,2016-07-03,22,2016,2016,"RR","RM",NA,"363","LT","363","186610","186610","F","F",203.2,203.2,"186610","PIT"
"186611",2016-06-08,2016-07-09,31,2016,2016,"TR","RM",NA,"365",NA,"365","186611","186611","F","F",205.74,205.74,"186611","PIT"
"186613.1",2016-06-08,2016-06-27,19,2016,2016,"TR","RR",NA,"368",NA,"368","186613","186613","F","F",180.34,180.34,"186613","PIT"
"186613.2",2016-06-27,2018-07-10,743,2016,2018,"RR","RMPY",NA,"368",NA,"LT","186613","186613","F","F",180.34,190.5,"186613","PIT"
"186614.1",2016-06-09,2016-06-12,3,2016,2016,"TR","RR",NA,"369",NA,"369","186614","186614","F","F",205.74,205.74,"186614","PIT"
"186614.2",2016-06-12,2016-06-22,10,2016,2016,"RR","RR",NA,"369",NA,"369","186614","186614","F","F",205.74,205.74,"186614","PIT"
"186614.3",2016-06-22,2016-07-04,12,2016,2016,"RR","RM",NA,"369",NA,"369","186614","186614","F","F",205.74,205.74,"186614","PIT"
"186615",2016-06-09,2016-07-15,36,2016,2016,"TR","RR",NA,"370",NA,"370","186615","186615","F","F",203.2,203.2,"186615","PIT"
"186616.1",2016-06-09,2016-06-12,3,2016,2016,"TR","RR",NA,"372",NA,"372","186616","186616","F","F",223.52,223.52,"186616","PIT"
"186616.2",2016-06-12,2016-07-06,24,2016,2016,"RR","RM",NA,"372",NA,"372","186616","186616","F","F",223.52,219.71,"186616","PIT"
"186618",2016-06-10,2016-07-10,30,2016,2016,"TR","RM",NA,"375",NA,"375","186618","186618","F","F",203.2,205.74,"186618","PIT"
"186620",2016-06-10,2016-06-15,5,2016,2016,"TR","RR",NA,"380",NA,"380","186620","186620","F","F",198.12,198.12,"186620","PIT"
"186623",2016-06-11,2019-07-20,1134,2016,2019,"TR","RMPY",NA,"387",NA,"387","186623","186623","F","F",203.2,205.74,"186623","PIT"
"186626",2016-06-11,2020-07-13,1493,2016,2020,"TR","P",NA,"396","lt",NA,"186626","186626","F","F",177.8,180.34,"186626","PIT"
"186628",2016-06-11,2016-07-25,44,2016,2016,"TR","RR",NA,"400",NA,"400","186628","186628","M","SM",193.04,193.04,"186628","PIT"
"186629",2016-06-11,2016-06-22,11,2016,2016,"TR","RM",NA,"876",NA,"876","186629","186629","M","M",176.53,176.53,"186629","PIT"
"186631.1",2016-06-11,2016-06-12,1,2016,2016,"TR","RR",NA,"879",NA,"879","186631","186631","F","F",208.28,208.28,"186631","PIT"
"186631.2",2016-06-12,2016-08-24,73,2016,2016,"RR","RM",NA,"879",NA,"879","186631","186631","F","F",208.28,220.98,"186631","PIT"
"186638",2016-06-12,2016-07-12,30,2016,2016,"TR","RM",NA,"852",NA,"852","186638","186638","F","F",213.36,208.28,"186638","PIT"
"186639",2016-06-12,2016-06-13,1,2016,2016,"TR","RR",NA,"853",NA,"853","186639","186639","F","F",209.55,209.55,"186639","PIT"
"186640",2016-06-12,2016-08-25,74,2016,2016,"TR","RM",NA,"857",NA,"857","186640","186640","F","F",233.68,233.68,"186640","PIT"
"186642",2016-06-12,2016-06-14,2,2016,2016,"TR","RR",NA,"866",NA,"866","186642","186642","M","M",187.96,187.96,"186642","PIT"
"186645",2016-06-13,2016-06-14,1,2016,2016,"TR","RR",NA,"874",NA,"874","186645","186645","M","M",185.42,185.42,"186645","PIT"
"186647",2016-06-13,2019-05-31,1082,2016,2019,"TR","RMPY",NA,"456",NA,"456","186647","186647","M","M",166.37,162.56,"186647","PIT"
"186651.1",2016-06-13,2016-06-23,10,2016,2016,"TR","RR",NA,"419","LT","419","186651","186651","F","F",200.66,198.12,"186651","PIT"
"186651.2",2016-06-23,2016-07-13,20,2016,2016,"RR","RM","LT","419",NA,"419","186651","186651","F","F",198.12,200.66,"186651","PIT"
"186652",2016-06-13,2016-07-01,18,2016,2016,"TR","RM",NA,"468",NA,"468","186652","186652","F","F",223.52,226.06,"186652","PIT"
"186655",2016-06-13,2018-05-27,713,2016,2018,"TR","RMPY",NA,"473",NA,"473","186655","186655","M","M",170.18,172.72,"186655","PIT"
"186658",2016-06-14,2016-06-28,14,2016,2016,"TR","RR",NA,"473",NA,"473","186658","186658","M","M",172.72,170.18,"186658","PIT"
"186659.1",2016-06-14,2016-06-26,12,2016,2016,"TR","RR",NA,"481",NA,"481","186659","186659","F","F",198.12,198.12,"186659","PIT"
"186659.2",2016-06-26,2016-08-14,49,2016,2016,"RR","RM",NA,"481",NA,"481","186659","186659","F","F",198.12,195.58,"186659","PIT"
"186660",2016-06-14,2016-07-12,28,2016,2016,"TR","RM",NA,"482",NA,"482","186660","186660","F","F",215.9,208.28,"186660","PIT"
"186662",2016-06-14,2016-06-17,3,2016,2016,"TR","RR","ACADIA","4307","ACADIA","4307","186662","186662","M","M",180.34,180.34,"186662","PIT"
"186664",2016-06-14,2018-07-08,754,2016,2018,"TR","RMPY",NA,"487",NA,"LT","186664","186664","M","M",182.88,180.34,"186664","PIT"
"186665",2016-06-14,2018-07-12,758,2016,2018,"TR","RMPY",NA,"488",NA,"488","186665","186665","M","M",190.5,182.88,"186665","PIT"
"186666.1",2016-06-14,2016-06-19,5,2016,2016,"TR","RR",NA,"490",NA,"490","186666","186666","F","F",214.63,214.63,"186666","PIT"
"186666.2",2016-06-19,2016-06-24,5,2016,2016,"RR","RR",NA,"490",NA,"490","186666","186666","F","F",214.63,214.63,"186666","PIT"
"186666.3",2016-06-24,2016-07-31,37,2016,2016,"RR","RM",NA,"490",NA,"490","186666","186666","F","F",214.63,213.36,"186666","PIT"
"186667.1",2016-06-14,2016-08-24,71,2016,2016,"TR","RR",NA,"492",NA,"492","186667","186667","F","M",204.47,203.2,"186667","PIT"
"186667.2",2016-08-24,2016-08-28,4,2016,2016,"RR","RR",NA,"492",NA,"492","186667","186667","M","X",203.2,NA,"186667","PIT"
"186667.4",2016-09-09,2019-07-25,1049,2016,2019,"RR","RMPY",NA,"492",NA,"527","186667","186667","F","M",193.04,187.96,"186667","PIT"
"186668",2016-06-14,2016-07-09,25,2016,2016,"TR","RR",NA,"494",NA,"494","186668","186668","M","SF",185.42,185.42,"186668","PIT"
"186670",2016-06-14,2016-06-24,10,2016,2016,"TR","RR",NA,"497",NA,"497","186670","186670","M","M",193.04,193.04,"186670","PIT"
"186671",2016-06-14,2016-08-31,78,2016,2016,"TR","RR",NA,"499",NA,"499","186671","186671","M","M",185.42,177.8,"186671","PIT"
"186674",2016-06-15,2020-07-24,1500,2016,2020,"TR","RMPY",NA,"535","LT","B","186674","186674","M","M",228.6,167.64,"186674","PIT"
"186678",2016-06-16,2016-07-01,15,2016,2016,"TR","RM",NA,"544",NA,"544","186678","186678","F","F",236.22,237.49,"186678","PIT"
"186679.1",2016-06-16,2016-06-17,1,2016,2016,"TR","RR",NA,"545",NA,"545","186679","186679","F","F",228.6,228.6,"186679","PIT"
"186679.2",2016-06-17,2016-07-09,22,2016,2016,"RR","RM",NA,"545",NA,"545","186679","186679","F","F",228.6,175.26,"186679","PIT"
"186681.1",2016-06-16,2016-06-17,1,2016,2016,"TR","RR",NA,"504",NA,"504","186681","186681","F","F",186.69,186.69,"186681","PIT"
"186681.2",2016-06-17,2016-07-30,43,2016,2016,"RR","RM",NA,"504",NA,"504","186681","186681","F","F",186.69,187.96,"186681","PIT"
"186682",2016-06-16,2019-07-09,1118,2016,2019,"TR","RMPY",NA,"506","LT","506","186682","186682","M","M",165.1,160.02,"186682","PIT"
"186683",2016-06-16,2016-06-17,1,2016,2016,"TR","RM",NA,"507",NA,"507","186683","186683","SF","F",210.82,210.82,"186683","PIT"
"186684",2016-06-16,2019-07-04,1113,2016,2019,"TR","RMPY",NA,"515",NA,"515","186684","186684","F","M",185.42,185.42,"186684","PIT"
"186685",2016-06-16,2016-07-05,19,2016,2016,"TR","RM","ACADIA","3127","ACADIA","3127","186685","186685","M","M",182.88,180.34,"186685","PIT"
"186689",2016-06-17,2016-07-16,29,2016,2016,"TR","RM",NA,"181","LT","181","186689","186689","F","F",229.87,228.6,"186689","PIT"
"186690.1",2016-06-17,2016-06-21,4,2016,2016,"TR","RR",NA,"185",NA,"185","186690","186690","F","F",195.58,195.58,"186690","PIT"
"186690.2",2016-06-21,2016-06-27,6,2016,2016,"RR","RR",NA,"185",NA,"185","186690","186690","F","F",195.58,195.58,"186690","PIT"
"186690.3",2016-06-27,2016-08-26,60,2016,2016,"RR","RM",NA,"185",NA,"185","186690","186690","F","F",195.58,190.5,"186690","PIT"
"186691",2016-06-17,2016-06-19,2,2016,2016,"TR","RR",NA,"187",NA,"187","186691","186691","F","F",187.96,187.96,"186691","PIT"
"186692",2016-06-18,2016-07-07,19,2016,2016,"TR","RM",NA,"190",NA,"190","186692","186692","F","F",229.87,228.6,"186692","PIT"
"186694",2016-06-18,2016-06-27,9,2016,2016,"TR","RR",NA,"193",NA,"193","186694","186694","F","F",203.2,203.2,"186694","PIT"
"186695",2016-06-18,2016-07-24,36,2016,2016,"TR","RM",NA,"978",NA,"978","186695","186695","F","F",223.52,220.98,"186695","PIT"
"186697",2016-06-19,2018-05-29,709,2016,2018,"TR","RMPY",NA,"984",NA,"984","186697","186697","M","M",166.37,165.1,"186697","PIT"
"186703",2016-06-22,2016-07-30,38,2016,2016,"TR","RM",NA,"404",NA,"404","186703","186703","F","F",203.2,203.2,"186703","PIT"
"186705",2016-06-22,2016-06-28,6,2016,2016,"TR","RM",NA,"406",NA,"406","186705","186705","F","F",172.72,172.72,"186705","PIT"
"186706",2016-06-23,2016-08-25,63,2016,2016,"TR","RM",NA,"409",NA,"409","186706","186706","F","F",203.2,203.2,"186706","PIT"
"186708",2016-06-23,2016-09-01,70,2016,2016,"TR","RM",NA,"411",NA,"411","186708","186708","F","F",236.22,236.22,"186708","PIT"
"186709",2016-06-23,2016-07-26,33,2016,2016,"TR","RM",NA,"414",NA,"414","186709","186709","F","F",200.66,203.2,"186709","PIT"
"186714",2016-06-24,2016-08-21,58,2016,2016,"TR","RM",NA,"426",NA,"426","186714","186714","F","F",198.12,195.58,"186714","PIT"
"186715",2016-06-25,2016-08-05,41,2016,2016,"TR","RM",NA,"427",NA,"427","186715","186715","F","F",226.06,226.06,"186715","PIT"
"186716",2016-06-25,2016-07-11,16,2016,2016,"TR","RM",NA,"428",NA,"428","186716","186716","F","F",205.74,205.74,"186716","PIT"
"186717",2016-06-25,2016-08-02,38,2016,2016,"TR","RM",NA,"432",NA,"432","186717","186717","F","F",208.28,220.98,"186717","PIT"
"186721",2016-06-26,2019-07-28,1127,2016,2019,"TR","RRPY",NA,"443",NA,"443","186721","186721","F","SF",213.36,213.36,"186721","PIT"
"186727.1",2016-06-28,2016-06-29,1,2016,2016,"TR","RR",NA,"953",NA,"953","186727","186727","M","M",176.53,176.53,"186727","PIT"
"186727.2",2016-06-29,2016-09-01,64,2016,2016,"RR","RR",NA,"953",NA,"953","186727","186727","M","X",176.53,NA,"186727","PIT"
"186729",2016-06-28,2016-08-12,45,2016,2016,"TR","RM",NA,"954",NA,"954","186729","186729","F","F",203.2,200.66,"186729","PIT"
"186730",2016-06-29,2016-07-03,4,2016,2016,"TR","RR",NA,"960",NA,"960","186730","186730","F","F",195.58,193.04,"186730","PIT"
"186732.1",2016-06-29,2019-07-10,1106,2016,2019,"TR","RMPY",NA,"962","LT","962","186732","186732","F","F",210.82,208.28,"186732","PIT"
"186733",2016-06-29,2019-07-16,1112,2016,2019,"TR","RMPY",NA,"966",NA,"966","186733","186733","F","F",184.15,185.42,"186733","PIT"
"186734",2016-06-30,2016-07-01,1,2016,2016,"TR","RR",NA,"970",NA,"970","186734","186734","M","M",187.96,187.96,"186734","PIT"
"186742",2016-07-14,2016-08-10,27,2016,2016,"TR","RR",NA,"1153",NA,"1153","186742","186742","F","F",198.12,198.12,"186742","PIT"
"186744",2016-07-15,2016-07-16,1,2016,2016,"TR","RM",NA,"1155",NA,"1155","186744","186744","SF","F",233.68,233.68,"186744","PIT"
"186745.1",2016-07-08,2016-07-24,16,2016,2016,"TR","RR",NA,"1171",NA,"1171","186745","186745","F","F",199.39,199.39,"186745","PIT"
"186745.2",2016-07-24,2016-08-08,15,2016,2016,"RR","RR",NA,"1171",NA,"1171","186745","186745","F","F",199.39,199.39,"186745","PIT"
"187012.2",2016-05-19,2019-05-26,1102,2016,2019,"RRPY","RMPY","B","1138","UNB","1138","187012","187012","M","M",182.88,180.34,"187012","PIT"
"187052.2",2016-06-03,2016-08-14,72,2016,2016,"RRPY","RM","A","658","A","658","187052","187052","F","SF",205.74,NA,"187052","PIT"
"187066.2",2016-07-09,2016-08-14,36,2016,2016,"RRPY","RM","A","677","A","677","187066","187066","M","M",179.07,175.26,"187066","PIT"
"187084.2",2016-06-01,2016-06-13,12,2016,2016,"RRPY","RR","LT","729",NA,"729","187084","187084","F","F",198.12,198.12,"187084","PIT"
