"","rel","recap","Days_at_liberty","Yrel","Yrecap","rel_status","recap_status","rel_Series","rel_Number","recap_Series","recap_Number","rel_PIT","recap_PIT","rel_sex","recap_sex","rel_TL","recap_TL","ID","tag_type"
"985120030749550",2009-07-07,2009-07-14,7,2009,2009,"TR","RR","UNBF","0165","UNBF","0165","985120030749550","985120030749550","F","F",182,182,"985120030749550","PIT"
"985120030755719.1",2009-07-06,2009-07-16,10,2009,2009,"TR","RR","B","0890","B","0890","985120030755719","985120030755719","M","M",185,185,"985120030755719","PIT"
"985120030755719.2",2009-07-16,2009-08-24,39,2009,2009,"RR","RR","B","0890","B","0890","985120030755719","985120030755719","M","M",185,185,"985120030755719","PIT"
"985120030756066.1",2009-07-14,2014-07-04,1816,2009,2014,"TR","RRPY","UNBF","0270","UNBF","270","985120030756066","985120030756066","M","M",158,160.02,"985120030756066","PIT"
"985120030756307",2009-07-17,2009-07-30,13,2009,2009,"TR","RR","UNBF","0288","UNBF","0288","985120030756307","985120030756307","U","U",164,164,"985120030756307","PIT"
"985120030756897",2009-07-18,2009-07-24,6,2009,2009,"TR","RR","UNBF","0294","UNBF","0294","985120030756897","985120030756897","U","U",165,165,"985120030756897","PIT"
"985120030757027",2009-07-16,2009-07-24,8,2009,2009,"TR","RR","UNBF","0282","UNBF","0282","985120030757027","985120030757027","F","F",180,180,"985120030757027","PIT"
"985120030757898.1",2009-07-07,2009-07-08,1,2009,2009,"TR","RR","UNBF","0168","UNBF","0168","985120030757898","985120030757898","U","U",186,186,"985120030757898","PIT"
"985120030757898.2",2009-07-08,2009-07-24,16,2009,2009,"RR","RR","UNBF","0168","UNBF","0168","985120030757898","985120030757898","U","U",186,186,"985120030757898","PIT"
"985120030758513.1",2009-07-09,2009-07-10,1,2009,2009,"TR","RR","UNBF","0233","UNBF","0233","985120030758513","985120030758513","SF","F",191,191,"985120030758513","PIT"
"985120030758513.2",2009-07-10,2020-05-27,3974,2009,2020,"RR","RMPY","UNBF","0233","B","233","985120030758513","985120030758513","F","F",191,236.22,"985120030758513","PIT"
"985120030763016.1",2009-07-20,2009-07-30,10,2009,2009,"TR","RR","B","0569","B","0569","985120030763016","985120030763016","M","M",173,173,"985120030763016","PIT"
"985120030763016.2",2009-07-30,2009-08-16,17,2009,2009,"RR","RR","B","0569","B","0569","985120030763016","985120030763016","M","M",173,173,"985120030763016","PIT"
"985120030763070",2009-07-12,2017-05-30,2879,2009,2017,"TR","RMPY","UNBF","0256","UNBF","256","985120030763070","985120030763070","U","M",169,175.26,"985120030763070","PIT"
"985120030763660",2009-07-07,2009-07-23,16,2009,2009,"TR","RM","B","0896","B","0896","985120030763660","985120030763660","F","F",193,193,"985120030763660","PIT"
"985120030764221",2009-07-06,2009-07-21,15,2009,2009,"TR","RR","B","0888","B","0888","985120030764221","985120030764221","M","M",184,184,"985120030764221","PIT"
"985120030768711",2009-07-24,2014-06-30,1802,2009,2014,"TR","RRPY","B","0587","B","587","985120030768711","985120030768711","U","M",174,182.88,"985120030768711","PIT"
"985120030771305",2009-07-07,2009-07-28,21,2009,2009,"TR","RM","B","0899","B","0899","985120030771305","985120030771305","F","F",199,199,"985120030771305","PIT"
"985120030773485",2009-07-07,2009-07-08,1,2009,2009,"TR","RR","UNBF","0170","UNBF","0170","985120030773485","985120030773485","M","M",193,197,"985120030773485","PIT"
"985120030775278.1",2009-07-25,2009-07-26,1,2009,2009,"TR","RR","B","1139","B","1139","985120030775278","985120030775278","M","m",155,155,"985120030775278","PIT"
"985120030775278.2",2009-07-26,2009-07-27,1,2009,2009,"RR","RR","B","1139","B","1139","985120030775278","985120030775278","m","m",155,155,"985120030775278","PIT"
