"","rel","recap","Days_at_liberty","Yrel","Yrecap","rel_status","recap_status","rel_Series","rel_Number","recap_Series","recap_Number","rel_PIT","recap_PIT","rel_sex","recap_sex","rel_TL","recap_TL","ID","tag_type"
"985120030756066.1",2009-07-14,2014-07-04,1816,2009,2014,"TR","RRPY","UNBF","0270","UNBF","270","985120030756066","985120030756066","M","M",158,160.02,"985120030756066","PIT"
"985120030758513.2",2009-07-10,2020-05-27,3974,2009,2020,"RR","RMPY","UNBF","0233","B","233","985120030758513","985120030758513","F","F",191,236.22,"985120030758513","PIT"
"985120030763070",2009-07-12,2017-05-30,2879,2009,2017,"TR","RMPY","UNBF","0256","UNBF","256","985120030763070","985120030763070","U","M",169,175.26,"985120030763070","PIT"
"985120030768711",2009-07-24,2014-06-30,1802,2009,2014,"TR","RRPY","B","0587","B","587","985120030768711","985120030768711","U","M",174,182.88,"985120030768711","PIT"
"985120030776706.2",2009-08-20,2010-08-11,356,2009,2010,"RR","RRPY","B","0586","b","586","985120030776706","985120030776706","M","M",173,173,"985120030776706","PIT"
"985120030779296.2",2009-07-29,2020-05-26,3954,2009,2020,"RR","RMPY","B","0579","B","579","985120030779296","985120030779296","U","M",169,172.72,"985120030779296","PIT"
"985120030780159",2009-07-09,2016-06-11,2529,2009,2016,"TR","RRPY","UNBF","0235",NA,"386","985120030780159","985120030780159","U","F",162,170.18,"985120030780159","PIT"
"985120031093042",2009-07-06,2020-07-09,4021,2009,2020,"TR","RRPY","B","0884","B","884","985120031093042","985120031093042","SF","SF",221,220.98,"985120031093042","PIT"
"985120031093361",2009-07-09,2010-07-28,384,2009,2010,"TR","RRPY","UNBF","0232","B","0232","985120031093361","985120031093361","M","M",182,182,"985120031093361","PIT"
"985120031100804.1",2009-07-27,2011-07-13,716,2009,2011,"TR","RRPY","B","0643","B","0643","985120031100804","985120031100804","U","M",181,0,"985120031100804","PIT"
"985120031113619.1",2009-07-16,2013-05-29,1413,2009,2013,"TR","RRPY","UNBF","0279","WK","16036","985120031113619","985120031113619","M","M",177,182.88,"985120031113619","PIT"
"985120031115061",2009-07-28,2015-07-11,2174,2009,2015,"TR","RRPY","B","0638","B","638","985120031115061","985120031115061","M","M",158,175.26,"985120031115061","PIT"
"985120031115568",2009-07-18,2019-07-21,3655,2009,2019,"TR","RMPY","UNBF","0295","B","295","985120031115568","985120031115568","M","M",170,177.8,"985120031115568","PIT"
"985120031118905.2",2009-07-16,2016-06-19,2530,2009,2016,"RR","RRPY","B","0858","B","858","985120031118905","985120031118905","M","M",163,172.72,"985120031118905","PIT"
