"","rel","Yrel","rel_status","rel_Series","rel_Number","rel_PIT","rel_sex","rel_TL","ID","tag_type"
"9851120031124510",2009-07-05,2009,"TR","B","0853","9851120031124510","F","213","9851120031124510","PIT"
"985120030749550",2009-07-14,2009,"RR","UNBF","0165","985120030749550","F","182","985120030749550","PIT"
"985120030755719",2009-08-24,2009,"RR","B","0890","985120030755719","M","185","985120030755719","PIT"
"985120030756066.1",2009-07-14,2009,"TR","UNBF","0270","985120030756066","M","158","985120030756066","PIT"
"985120030756307",2009-07-30,2009,"RR","UNBF","0288","985120030756307","U","164","985120030756307","PIT"
"985120030756897",2009-07-24,2009,"RR","UNBF","0294","985120030756897","U","165","985120030756897","PIT"
"985120030757027",2009-07-24,2009,"RR","UNBF","0282","985120030757027","F","180","985120030757027","PIT"
"985120030757603",2009-07-18,2009,"TR","UNBF","0297","985120030757603","F","205","985120030757603","PIT"
"985120030757898",2009-07-24,2009,"RR","UNBF","0168","985120030757898","U","186","985120030757898","PIT"
"985120030758513",2009-07-10,2009,"RR","UNBF","0233","985120030758513","F","191","985120030758513","PIT"
"985120030758723",2009-07-24,2009,"TR","B","0583","985120030758723","U","156","985120030758723","PIT"
"985120030758865",2009-07-02,2009,"TR","B","161","985120030758865","F","180","985120030758865","PIT"
"985120030763016",2009-08-16,2009,"RR","B","0569","985120030763016","M","173","985120030763016","PIT"
"985120030763070",2009-07-12,2009,"TR","UNBF","0256","985120030763070","U","169","985120030763070","PIT"
"985120030764206",2009-07-07,2009,"TR","UNBF","0167","985120030764206","M","170","985120030764206","PIT"
"985120030764221",2009-07-21,2009,"RR","B","0888","985120030764221","M","184","985120030764221","PIT"
"985120030766413",2009-07-06,2009,"TR","B","0892","985120030766413","M","163","985120030766413","PIT"
"985120030766429",2009-08-01,2009,"TR","B","0697","985120030766429","SF","204","985120030766429","PIT"
"985120030767061",2009-07-06,2009,"TR","B","0881","985120030767061","F","189","985120030767061","PIT"
"985120030767547",2009-07-27,2009,"TR","B","0642","985120030767547","M","164","985120030767547","PIT"
"985120030767784",2009-07-05,2009,"TR","B","0868","985120030767784","M","156","985120030767784","PIT"
"985120030768711.1",2009-07-24,2009,"TR","B","0587","985120030768711","U","174","985120030768711","PIT"
"985120030770387",2009-07-14,2009,"TR","UNBF","0264","985120030770387","M","178","985120030770387","PIT"
"985120030770667",2009-07-11,2009,"TR","UNBF","0249","985120030770667","M","178","985120030770667","PIT"
"985120030771440",2009-07-14,2009,"TR","UNBF","0269","985120030771440","M","161","985120030771440","PIT"
"985120030773239",2009-07-15,2009,"TR","UNBF","0275","985120030773239","F","215","985120030773239","PIT"
"985120030773485",2009-07-08,2009,"RR","UNBF","0170","985120030773485","M","197","985120030773485","PIT"
"985120030773490",2009-07-07,2009,"TR","UNBF","0166","985120030773490","F","210","985120030773490","PIT"
"985120030773871",2009-07-14,2009,"TR","UNBF","0265","985120030773871","M","194","985120030773871","PIT"
"985120030774692",2009-07-27,2009,"TR","B","0645","985120030774692","M","161","985120030774692","PIT"
"985120030775176",2009-07-08,2009,"TR","UNBF","0229","985120030775176","M","180","985120030775176","PIT"
"985120030775278",2009-08-20,2009,"RR","B","1139","985120030775278","M","155","985120030775278","PIT"
"985120030775765",2009-07-23,2009,"TR","B","0598","985120030775765","SF","205","985120030775765","PIT"
"985120030775780",2009-07-05,2009,"TR","B","0876","985120030775780","F","191","985120030775780","PIT"
"985120030776019",2009-07-09,2009,"RR","UNBF","0226","985120030776019","F","196","985120030776019","PIT"
"985120030776706.1",2009-08-20,2009,"RR","B","0586","985120030776706","M","173","985120030776706","PIT"
"985120030776846",2009-07-08,2009,"RR","UNBF","0172","985120030776846","M","169","985120030776846","PIT"
"985120030778899",2009-07-19,2009,"TR","UNBF","0300","985120030778899","U","169","985120030778899","PIT"
"985120030779296",2009-07-29,2009,"RR","B","0579","985120030779296","U","169","985120030779296","PIT"
"985120030780159.1",2009-07-09,2009,"TR","UNBF","0235","985120030780159","U","162","985120030780159","PIT"
"985120030780590",2009-07-30,2009,"RR","UNBF","0228","985120030780590","M","165","985120030780590","PIT"
"985120030782338",2009-08-07,2009,"RR","UNBF","0261","985120030782338","M","175","985120030782338","PIT"
"985120030783442",2009-07-10,2009,"TR","UNBF","0248","985120030783442","U","153","985120030783442","PIT"
"985120030783492",2009-07-15,2009,"TR","UNBF","0274","985120030783492","SF","206","985120030783492","PIT"
"985120030784833",2009-07-11,2009,"TR","UNBF","0250","985120030784833","F","196","985120030784833","PIT"
"985120030786780",2009-07-15,2009,"TR","UNBF","0273","985120030786780","U","171","985120030786780","PIT"
"985120030789546",2009-07-15,2009,"RR","B","0882","985120030789546","F","189","985120030789546","PIT"
"985120031076364",2009-08-03,2009,"TR","B","0659","985120031076364","SF","216","985120031076364","PIT"
"985120031082214",2009-08-16,2009,"RR","B","1144","985120031082214","M","162","985120031082214","PIT"
"985120031083882",2009-07-02,2009,"TR","B","158","985120031083882","F","187","985120031083882","PIT"
"985120031085010",2009-08-01,2009,"TR","B","0574","985120031085010","SM","161","985120031085010","PIT"
"9851200310866310",2009-07-09,2009,"TR","UNBF","0240","9851200310866310","M","174","9851200310866310","PIT"
"985120031088409",2009-07-02,2009,"TR","B","159","985120031088409","M","175","985120031088409","PIT"
"985120031093042.1",2009-07-06,2009,"TR","B","0884","985120031093042","SF","221","985120031093042","PIT"
