"","Yrel","Year","Season","Fleet","nrecap"
"1",1,2009,1,1,68
"2",1,2010,1,1,18
"3",1,2011,1,1,5
"4",1,2012,1,1,2
"5",1,2013,1,1,1
"6",1,2014,1,1,4
"7",1,2015,1,1,3
"8",1,2016,1,1,2
"9",1,2017,1,1,2
"10",1,2018,1,1,1
"11",1,2019,1,1,2
"12",1,2020,1,1,3
"13",2,2010,1,1,71
"14",2,2011,1,1,2
"15",2,2012,1,1,3
"16",2,2013,1,1,4
"17",2,2014,1,1,4
"18",2,2015,1,1,6
"19",2,2017,1,1,2
"20",2,2018,1,1,3
"21",2,2019,1,1,1
"22",3,2011,1,1,57
"23",3,2013,1,1,3
"24",3,2014,1,1,2
"25",3,2015,1,1,1
"26",3,2016,1,1,1
"27",3,2017,1,1,2
"28",3,2019,1,1,3
"29",4,2012,1,1,48
"30",4,2014,1,1,7
"31",4,2015,1,1,4
"32",4,2016,1,1,11
"33",4,2017,1,1,4
"34",4,2018,1,1,3
"35",4,2019,1,1,3
"36",5,2013,1,1,58
"37",5,2014,1,1,1
"38",5,2015,1,1,5
"39",5,2016,1,1,4
"40",5,2017,1,1,8
"41",5,2018,1,1,5
"42",5,2019,1,1,5
"43",5,2020,1,1,1
"44",6,2014,1,1,67
"45",6,2015,1,1,1
"46",6,2016,1,1,9
"47",6,2017,1,1,5
"48",6,2018,1,1,9
"49",6,2019,1,1,3
"50",6,2020,1,1,3
"51",7,2015,1,1,36
"52",7,2016,1,1,3
"53",7,2017,1,1,2
"54",7,2018,1,1,6
"55",7,2019,1,1,4
"56",7,2020,1,1,3
"57",8,2016,1,1,135
"58",8,2018,1,1,10
"59",8,2019,1,1,18
"60",8,2020,1,1,4
"61",9,2017,1,1,17
"62",9,2018,1,1,1
"63",9,2019,1,1,1
"64",10,2018,1,1,16
"65",11,2019,1,1,16
"66",11,2020,1,1,1
"67",12,2020,1,1,12
