"","ID","Ytag","Yrecap","n_recap","rel_status","tag_type"
"0533?","0533?",2009,NA,0,"P","PIT"
"9851120031124510","9851120031124510",2009,NA,0,"TR","PIT"
"985120030749550","985120030749550",2009,"2009",1,"TR","PIT"
"985120030755719","985120030755719",2009,"2009, 2009",2,"TR","PIT"
"985120030756066","985120030756066",2009,"2014, 2018",2,"TR","PIT"
"985120030756307","985120030756307",2009,"2009",1,"TR","PIT"
"985120030756897","985120030756897",2009,"2009",1,"TR","PIT"
"985120030757027","985120030757027",2009,"2009",1,"TR","PIT"
"985120030757603","985120030757603",2009,NA,0,"TR","PIT"
"985120030757898","985120030757898",2009,"2009, 2009",2,"TR","PIT"
"985120030758513","985120030758513",2009,"2009, 2020",2,"TR","PIT"
"985120030758723","985120030758723",2009,NA,0,"TR","PIT"
"985120030758865","985120030758865",2009,NA,0,"TR","PIT"
"985120030763016","985120030763016",2009,"2009, 2009",2,"TR","PIT"
"985120030763070","985120030763070",2009,"2017",1,"TR","PIT"
"985120030763660","985120030763660",2009,"2009",1,"TR","PIT"
"985120030764206","985120030764206",2009,NA,0,"TR","PIT"
"985120030764221","985120030764221",2009,"2009",1,"TR","PIT"
"985120030766413","985120030766413",2009,NA,0,"TR","PIT"
"985120030766429","985120030766429",2009,NA,0,"TR","PIT"
"985120030767061","985120030767061",2009,NA,0,"TR","PIT"
"985120030767547","985120030767547",2009,NA,0,"TR","PIT"
"985120030767784","985120030767784",2009,NA,0,"TR","PIT"
"985120030768711","985120030768711",2009,"2014",1,"TR","PIT"
"985120030770253","985120030770253",2009,NA,0,"P","PIT"
"985120030770387","985120030770387",2009,NA,0,"TR","PIT"
"985120030770667","985120030770667",2009,NA,0,"TR","PIT"
"985120030771305","985120030771305",2009,"2009",1,"TR","PIT"
"985120030771440","985120030771440",2009,NA,0,"TR","PIT"
"985120030773239","985120030773239",2009,NA,0,"TR","PIT"
"985120030773485","985120030773485",2009,"2009",1,"TR","PIT"
"985120030773490","985120030773490",2009,NA,0,"TR","PIT"
"985120030773871","985120030773871",2009,NA,0,"TR","PIT"
"985120030774692","985120030774692",2009,NA,0,"TR","PIT"
"985120030774895","985120030774895",2009,NA,0,"TR","PIT"
"985120030775176","985120030775176",2009,NA,0,"TR","PIT"
"985120030775278","985120030775278",2009,"2009, 2009, 2009",3,"TR","PIT"
"985120030775765","985120030775765",2009,NA,0,"TR","PIT"
"985120030775780","985120030775780",2009,NA,0,"TR","PIT"
"985120030776019","985120030776019",2009,"2009",1,"TR","PIT"
"985120030776706","985120030776706",2009,"2009, 2010",2,"TR","PIT"
"985120030776781","985120030776781",2009,"2009",1,"TR","PIT"
"985120030776846","985120030776846",2009,"2009",1,"TR","PIT"
"985120030778899","985120030778899",2009,NA,0,"TR","PIT"
"985120030779296","985120030779296",2009,"2009, 2020",2,"TR","PIT"
"985120030780159","985120030780159",2009,"2016",1,"TR","PIT"
"985120030780590","985120030780590",2009,"2009",1,"TR","PIT"
"985120030782338","985120030782338",2009,"2009",1,"TR","PIT"
"985120030783442","985120030783442",2009,NA,0,"TR","PIT"
"985120030783492","985120030783492",2009,NA,0,"TR","PIT"
"985120030784833","985120030784833",2009,NA,0,"TR","PIT"
"985120030786780","985120030786780",2009,NA,0,"TR","PIT"
"985120030789546","985120030789546",2009,"2009",1,"TR","PIT"
"985120031075852","985120031075852",2009,NA,0,"P","PIT"
"985120031076364","985120031076364",2009,NA,0,"TR","PIT"
"985120031082214","985120031082214",2009,"2009",1,"TR","PIT"
"985120031083882","985120031083882",2009,NA,0,"TR","PIT"
"985120031085010","985120031085010",2009,NA,0,"TR","PIT"
"9851200310866310","9851200310866310",2009,NA,0,"TR","PIT"
"985120031088409","985120031088409",2009,NA,0,"TR","PIT"
"985120031093042","985120031093042",2009,"2020",1,"TR","PIT"
"985120031093361","985120031093361",2009,"2010",1,"TR","PIT"
"985120031093918","985120031093918",2009,NA,0,"TR","PIT"
"985120031095979","985120031095979",2009,NA,0,"TR","PIT"
"985120031097453","985120031097453",2009,NA,0,"TR","PIT"
"985120031098715","985120031098715",2009,"2009",1,"TR","PIT"
"985120031100804","985120031100804",2009,"2011, 2019",2,"TR","PIT"
"985120031108043","985120031108043",2009,NA,0,"TR","PIT"
"985120031111838","985120031111838",2009,NA,0,"TR","PIT"
"985120031112108","985120031112108",2009,"2009, 2009, 2009, 2009",4,"TR","PIT"
"985120031112638","985120031112638",2009,NA,0,"TR","PIT"
"985120031112970","985120031112970",2009,"2009, 2009, 2009, 2009",4,"TR","PIT"
"985120031113619","985120031113619",2009,"2013, 2013",2,"TR","PIT"
"985120031115061","985120031115061",2009,"2015",1,"TR","PIT"
"985120031115235","985120031115235",2009,NA,0,"TR","PIT"
"985120031115568","985120031115568",2009,"2019",1,"TR","PIT"
"985120031115919","985120031115919",2009,NA,0,"TR","PIT"
"985120031115930","985120031115930",2009,NA,0,"TR","PIT"
"985120031117337","985120031117337",2009,NA,0,"TR","PIT"
"985120031117545","985120031117545",2009,"2009",1,"TR","PIT"
"985120031117839","985120031117839",2009,NA,0,"TR","PIT"
"985120031117980","985120031117980",2009,NA,0,"TR","PIT"
"985120031118905","985120031118905",2009,"2009, 2016, 2016, 2016, 2018",5,"TR","PIT"
"985120031119187","985120031119187",2009,NA,0,"TR","PIT"
"985120031119712","985120031119712",2009,NA,0,"TR","PIT"
"985120031120266","985120031120266",2009,NA,0,"TR","PIT"
"985120031131739","985120031131739",2009,"2009",1,"TR","PIT"
"985120031131859","985120031131859",2009,"2015, 2015",2,"TR","PIT"
"985120031132047","985120031132047",2009,NA,0,"TR","PIT"
"985120031133754","985120031133754",2009,NA,0,"TR","PIT"
"985120031143056","985120031143056",2009,NA,0,"TR","PIT"
"985120031144042","985120031144042",2009,"2009, 2009, 2009, 2009, 2009",5,"TR","PIT"
"98512003114665","98512003114665",2009,NA,0,"TR","PIT"
"985120031161872","985120031161872",2009,"2009, 2009",2,"TR","PIT"
"985120031161878","985120031161878",2009,NA,0,"TR","PIT"
"985120031164386","985120031164386",2009,NA,0,"TR","PIT"
"985120032791228","985120032791228",2009,NA,0,"TR","PIT"
"9851200381400710","9851200381400710",2009,"2012",1,"TR","PIT"
"A2174","A2174",2009,NA,0,"TR","Floy"
"B0130","B0130",2009,"2011",1,"P","Floy"
"B0160","B0160",2009,NA,0,"TR","Floy"
"B0163","B0163",2009,NA,0,"P","Floy"
"B0164","B0164",2009,NA,0,"P","Floy"
"B0176","B0176",2009,NA,0,"P","Floy"
"B0177","B0177",2009,NA,0,"TR","Floy"
"B0178","B0178",2009,NA,0,"P","Floy"
"B0179","B0179",2009,NA,0,"P","Floy"
"B0180","B0180",2009,NA,0,"TR","Floy"
"B0181","B0181",2009,NA,0,"P","Floy"
"B0182","B0182",2009,NA,0,"P","Floy"
"B0183","B0183",2009,NA,0,"P","Floy"
"B0184","B0184",2009,"2009, 2009",2,"TR","Floy"
"B0185","B0185",2009,"2014",1,"TR","Floy"
"B0186","B0186",2009,NA,0,"TR","Floy"
"B0187","B0187",2009,NA,0,"TR","Floy"
"B0190","B0190",2009,NA,0,"TR","Floy"
"B0191","B0191",2009,NA,0,"P","Floy"
"B0192","B0192",2009,NA,0,"TR","Floy"
"B0193","B0193",2009,NA,0,"TR","Floy"
"B0194","B0194",2009,NA,0,"P","Floy"
"B0195","B0195",2009,NA,0,"P","Floy"
"B0196","B0196",2009,NA,0,"P","Floy"
"B0197","B0197",2009,NA,0,"TR","Floy"
"B0198","B0198",2009,NA,0,"TR","Floy"
"B0199","B0199",2009,"2014",1,"TR","Floy"
"B0200","B0200",2009,NA,0,"TR","Floy"
"B0201","B0201",2009,"2010, 2013",2,"TR","Floy"
"B0202","B0202",2009,"2009, 2010, 2014",3,"TR","Floy"
"B0203","B0203",2009,NA,0,"P","Floy"
"B0204","B0204",2009,"2010, 2010",2,"TR","Floy"
"B0205","B0205",2009,"2009",1,"TR","Floy"
"B0206","B0206",2009,"2010",1,"P","Floy"
"B0207","B0207",2009,"2010, 2010",2,"TR","Floy"
"B0208","B0208",2009,NA,0,"TR","Floy"
"B0209","B0209",2009,"2010",1,"TR","Floy"
"B0210","B0210",2009,"2010",1,"P","Floy"
"B0211","B0211",2009,"2010",1,"TR","Floy"
"B0212","B0212",2009,"2010",1,"P","Floy"
"B0213","B0213",2009,"2010",1,"TR","Floy"
"B0214","B0214",2009,"2010",1,"TR","Floy"
"B0215","B0215",2009,NA,0,"P","Floy"
"B0216","B0216",2009,"2010",1,"TR","Floy"
"B0217","B0217",2009,"2010",1,"TR","Floy"
"B0218","B0218",2009,"2010",1,"P","Floy"
"B0219","B0219",2009,"2010",1,"TR","Floy"
"B0220","B0220",2009,NA,0,"TR","Floy"
"B0222","B0222",2009,"2010, 2010, 2013, 2013",4,"TR","Floy"
"B0223","B0223",2009,NA,0,"TR","Floy"
"B0224","B0224",2009,NA,0,"TR","Floy"
"B0225","B0225",2009,"2019",1,"TR","Floy"
"B0226","B0226",2009,"2010",1,"RR","Floy"
"B0227","B0227",2009,NA,0,"P","Floy"
"B0230","B0230",2009,"2010, 2010",2,"P","Floy"
"B0234","B0234",2009,"2011",1,"TR","Floy"
"B0235","B0235",2009,NA,0,"RR","Floy"
"B0236","B0236",2009,NA,0,"P","Floy"
"B0237","B0237",2009,"2010",1,"P","Floy"
"B0238","B0238",2009,"2009",1,"TR","Floy"
"B0239","B0239",2009,NA,0,"P","Floy"
"B0240","B0240",2009,NA,0,"RR","Floy"
"B0241","B0241",2009,"2010",1,"P","Floy"
"B0243","B0243",2009,"2010",1,"P","Floy"
"B0245","B0245",2009,"2010",1,"P","Floy"
"B0246","B0246",2009,"2010",1,"P","Floy"
"B0251","B0251",2009,"2010, 2012",2,"P","Floy"
"B0252","B0252",2009,NA,0,"TR","Floy"
"B0253","B0253",2009,NA,0,"P","Floy"
"B0254","B0254",2009,NA,0,"P","Floy"
"B0255","B0255",2009,NA,0,"P","Floy"
"B0258","B0258",2009,"2010",1,"P","Floy"
"B0260","B0260",2009,"2010, 2012",2,"P","Floy"
"B0262","B0262",2009,"2009, 2009, 2010, 2015",4,"TR","Floy"
"B0266","B0266",2009,"2010",1,"TR","Floy"
"B0271","B0271",2009,"2010",1,"P","Floy"
"B0272","B0272",2009,"2010",1,"P","Floy"
"B0276","B0276",2009,NA,0,"P","Floy"
"B0277","B0277",2009,NA,0,"P","Floy"
"B0278","B0278",2009,"2009",1,"P","Floy"
"B0279","B0279",2009,NA,0,"P","Floy"
