"","df","AIC","delta_AIC","theta"
"m0p",1,5594.74658807107,1668.91,NA
"m1p",12,4771.85757215159,846.02,NA
"m2p",14,4530.36251333504,604.53,NA
"m3p",34,4284.60770355645,358.77,NA
"m4p",15,4493.63795721912,567.8,NA
"m5p",35,4212.95072501072,287.11,NA
"m0nb",2,4395.67612754949,469.84,2.54727354802747
"m1nb",13,4161.31171980182,235.48,4.17260633906891
"m2nb",15,4063.0363890928,137.2,5.20941736288429
"m3nb",35,3952.84395904803,27.01,7.12426681324336
"m4nb",16,4055.31715088614,129.48,5.38216317148927
"m5nb",36,3925.83595239233,0,7.82847305580198
