,Year,SSB,FM,SSN_F,SSN_M,SSN,SJR F,...2,BOF F
1,1879,347,0,7856,4525,12380,0,0,0
2,1880,252,0.83,5670,3187,8857,0,0.84,0
3,1881,118,1.39,2866,1582,4448,0,1.42,0
4,1882,44,2.69,1206,655,1861,0,2.73,0
5,1883,23,2.95,681,379,1060,0,3,0
6,1884,19,2.04,569,334,903,0,2.07,0
7,1885,20,0.77,606,378,984,0,0.78,0
8,1886,24,0.38,719,474,1193,0,0.39,0
9,1887,29,0,886,613,1499,0,0,0
10,1888,37,0,1096,790,1887,0,0,0
11,1889,44,0,1324,982,2306,0,0,0
12,1890,53,0,1565,1182,2747,0,0,0
13,1891,62,0,1815,1385,3200,0,0,0
14,1892,71,0,2070,1586,3657,0,0,0
15,1893,80,0,2327,1782,4109,0,0,0
16,1894,90,0,2582,1966,4549,0,0,0
17,1895,100,0,2834,2136,4969,0,0,0
18,1896,110,0,3079,2284,5363,0,0,0
19,1897,117,0.08,3258,2349,5607,0,0.08,0
20,1898,122,0.06,3380,2342,5722,0,0.06,0
21,1899,129,0.03,3521,2334,5855,0,0.03,0
22,1900,135,0.03,3673,2320,5993,0,0.03,0
23,1901,143,0.01,3836,2304,6140,0,0.01,0
24,1902,150,0,4002,2290,6292,0,0,0
25,1903,157,0.01,4134,2256,6390,0,0.01,0
26,1904,162,0.01,4224,2209,6434,0,0.01,0
27,1905,165,0.02,4275,2158,6432,0,0.02,0
28,1906,167,0.02,4281,2105,6386,0,0.02,0
29,1907,169,0.02,4261,2065,6325,0,0.02,0
30,1908,170,0.01,4236,2046,6282,0,0.01,0
31,1909,170,0.03,4184,2036,6219,0,0.03,0
32,1910,168,0.04,4081,2015,6096,0,0.04,0.01
33,1911,166,0.01,3995,2017,6012,0,0.01,0
34,1912,165,0.02,3930,2038,5968,0,0.02,0.01
35,1913,163,0.02,3854,2053,5907,0,0.02,0.02
36,1914,162,0.02,3776,2068,5845,0,0.02,0.01
37,1915,160,0.02,3713,2096,5809,0,0.02,0
38,1916,159,0.01,3682,2142,5824,0,0.01,0
39,1917,160,0.01,3679,2199,5878,0,0.01,0
40,1918,161,0.01,3688,2260,5948,0,0.01,0
41,1919,161,0.02,3696,2315,6010,0,0.02,0
42,1920,162,0.02,3706,2366,6071,0,0.02,0
43,1921,162,0.02,3717,2412,6129,0,0.02,0
44,1922,162,0.02,3729,2452,6182,0,0.02,0
45,1923,163,0.02,3752,2494,6246,0,0.02,0
46,1924,164,0.01,3794,2544,6338,0,0.01,0
47,1925,166,0.01,3857,2601,6458,0,0.01,0
48,1926,169,0.01,3926,2657,6583,0,0.01,0
49,1927,172,0,4004,2715,6718,0,0,0
50,1928,175,0.01,4082,2767,6849,0,0.01,0
51,1929,178,0.01,4161,2817,6977,0,0.01,0
52,1930,181,0,4235,2851,7086,0,0,0.03
53,1931,184,0,4309,2881,7190,0,0,0
54,1932,188,0,4402,2930,7332,0,0,0
55,1933,191,0,4495,2978,7473,0,0,0
56,1934,195,0.01,4571,3013,7584,0,0.01,0
57,1935,197,0.01,4624,3031,7654,0,0.01,0
58,1936,199,0.01,4673,3046,7719,0,0.01,0
59,1937,201,0.01,4727,3066,7794,0,0.01,0
60,1938,204,0.01,4787,3091,7878,0,0.01,0
61,1939,207,0,4851,3119,7970,0,0,0
62,1940,210,0,4918,3150,8068,0,0,0
63,1941,213,0,4986,3183,8170,0,0,0
64,1942,216,0,5049,3213,8262,0,0,0
65,1943,219,0,5108,3240,8348,0,0,0
66,1944,221,0,5163,3264,8428,0,0,0
67,1945,224,0.01,5210,3283,8493,0,0.01,0
68,1946,225,0.01,5242,3293,8535,0,0.01,0
69,1947,227,0.01,5272,3303,8574,0,0.01,0
70,1948,229,0,5309,3318,8627,0,0,0
71,1949,231,0.01,5343,3332,8675,0,0.01,0
72,1950,233,0.01,5376,3347,8723,0,0.01,0
73,1951,235,0,5412,3365,8777,0,0,0
74,1952,236,0.01,5446,3381,8827,0,0.01,0
75,1953,238,0.01,5466,3389,8855,0,0.01,0
76,1954,238,0.01,5474,3388,8862,0,0.01,0
77,1955,238,0.01,5477,3384,8861,0,0.01,0
78,1956,239,0.01,5491,3389,8880,0,0.01,0
79,1957,240,0.01,5509,3395,8904,0,0.01,0.01
80,1958,240,0.02,5499,3381,8880,0,0.02,0.01
81,1959,240,0.01,5487,3368,8855,0,0.01,0
82,1960,240,0.02,5482,3360,8842,0,0.02,0.01
83,1961,240,0.01,5487,3358,8844,0,0.01,0.01
84,1962,241,0.01,5512,3370,8881,0,0.01,0
85,1963,243,0.01,5542,3388,8929,0,0.01,0
86,1964,244,0,5574,3408,8982,0,0,0
87,1965,245,0.01,5601,3422,9023,0,0.01,0.01
88,1966,246,0.01,5620,3433,9053,0,0.01,0
89,1967,248,0.01,5647,3451,9098,0,0.01,0
90,1968,249,0,5675,3465,9140,0,0,0.01
91,1969,248,0.02,5663,3454,9117,0,0.03,0
92,1970,247,0.02,5638,3438,9076,0,0.02,0
93,1971,247,0.01,5642,3440,9082,0,0.01,0
94,1972,247,0.02,5634,3435,9069,0,0.02,0
95,1973,246,0.01,5624,3428,9052,0,0.01,0
96,1974,247,0.01,5640,3435,9075,0,0.01,0
97,1975,248,0.01,5660,3445,9105,0,0.01,0
98,1976,247,0.03,5643,3432,9075,0,0.03,0
99,1977,247,0,5644,3430,9074,0,0,0
100,1978,247,0.02,5655,3436,9091,0,0.02,0
101,1979,243,0.05,5578,3381,8959,0,0.05,0.01
102,1980,235,0.08,5396,3256,8652,0,0.08,0.02
103,1981,227,0.04,5235,3145,8380,0,0.04,0.02
104,1982,223,0.04,5153,3088,8241,0,0.04,0.01
105,1983,219,0.05,5068,3036,8104,0,0.05,0.01
106,1984,213,0.06,4951,2965,7917,0,0.06,0.01
107,1985,206,0.06,4797,2861,7658,0,0.06,0.05
108,1986,200,0.06,4652,2763,7415,0,0.06,0.02
109,1987,196,0.03,4580,2719,7299,0,0.03,0.02
110,1988,184,0.17,4324,2557,6881,0,0.18,0.03
111,1989,164,0.19,3885,2289,6175,0,0.2,0.02
112,1990,152,0.09,3632,2146,5778,0,0.09,0.01
113,1991,149,0.05,3564,2120,5684,0,0.05,0.03
114,1992,147,0.05,3534,2117,5651,0,0.05,0.02
115,1993,147,0.03,3533,2132,5666,0,0.03,0.03
116,1994,146,0.06,3527,2144,5671,0,0.06,0.02
117,1995,145,0.06,3502,2148,5650,0,0.06,0.01
118,1996,143,0.08,3468,2150,5618,0,0.08,0
119,1997,141,0.06,3440,2155,5595,0,0.06,0
120,1998,141,0.03,3456,2185,5641,0,0.04,0.01
121,1999,144,0.02,3521,2245,5766,0,0.02,0
